July 2026
Was a fun experience and the Captain was very friendly and knowledgeable.
I love this Cali is the best I will give it 100 stars and more she’s the best singer I’ve ever heard and plus I sing with her it was the best trip ever go Texas and Nashville.
"Great people, great service and good food. A very special and relaxing experience."
"Great music, informative tour and lovely staff (Aziz)! Would definitely recommend."
"I had a wonderful time on the Nashville Riverboats cruise! The views of the Nashville skyline from the Cumberland River were beautiful, the atmosphere was relaxing, and it was a great way to spend the evening.
A special shoutout to our waitress, Aziz, who was absolutely amazing! She was friendly, attentive, and made sure we had everything we needed throughout the cruise. Her excellent service really made the experience even more enjoyable.
If you’re visiting Nashville or looking for a fun evening on the water, I highly recommend Nashville Riverboats. Ill definitely be back!"
Aziz was so attentive and sweet to our large group during dinner and dessert! Great experience 😀
Was such a nice relaxing boat ride. Staff was amazing especially Cyndi at the bar. She gave us some great recommendations for things to do off broadway! Thank you Cyndi we had a great time at the speak easy tour!
Great ride. Not even the rain could stop us from having a good time. Aziz was a fantastic host and was with us wherever we needed him. Fantastic way to start our 4th of July weekend. Aziz is the man. Food was mid but that wasn't Aziz's fault
Jimbo was amazing on this boat and made our whole trip! It was so fun seeing the river and traveling on the boat with live music. Would definitely recommend!!
Jimbo was outstanding. Leaned so much about Nashville’s history.
"Great time down the river, a knowledgable narration from jimbo. 10/10"
Jimbo did a great job narrating the tour. Informative & entertaining even in the rain.
Such an underrated activity. So cheap!!! Beautiful view and there’s a singer
Great time! Even in the rain! Jumbo is extremely informative as a tour guide! Definitely recommend!!
"Unfortunately the rain ruined our visit! But Aziz made it fun and welcoming to me and my family! Ordered drinks from the third deck and because of the rain we had to move down , Aziz made sure to find us and take care of us !"
Uncle Jim bought was an amazing guide on this tour...
Uncle Jimbo was a fantastic wealth of knowledge of the Cumberland river
Jimbo talked about fish and that intrigued me.
"Uncle Jimbo rocked it. Great sense of humor, knowledge, and fun."
Jimbo was grand. 😏 
Loved it so much- very knowledgeable about Nashville's history. Jimbp was amazing!!
Everything looks wonderful
"Our tour guide, Jimbo, was fabulous. He is both knowledgeable and entertaining. The live music on board and porch swing seating were pleasant surprises, as was the drink service right at our seats. I would highly recommend this cruise!"
"Awesome experience, great staff! It is a must do if you come to Nashville!"
Captain Jimbo was great. We enjoyed the river boat cruise!!! The music was awesome.🤠
"⭐⭐⭐⭐⭐ Captain Jimbo is an absolute legend!
What an unforgettable experience on the Nashville River Boat! Captain Jimbo runs the ship with such warmth, humor, and genuine Southern charm. From the moment we boarded, the energy was electric — live country music, stunning river views, and the most adorable monster family dancing and waving like they owned the deck!
The boat itself is beautiful, the paddlewheel creates that magical rainbow spray, and Captain Jimbo made sure everyone felt like part of the family. This really was the best trip ever!
If you’re in Nashville, do yourself a favor and book this cruise. Captain Jimbo and his crew deliver pure joy on the water. Highly recommend — 10/10! 🚢🦍🎶"
"Awesome experience. Friendly, considerate. Although it was hot the crew came around with cold water. Really nice touch. Would recommend"
Uncle Jimbo gave a very informative tour on the Riverboat. Chilled music and a great cruise down the river. 100% recommend to anyone in the area
Jimbo was the best!
"A relaxing ride down the River. Jumbo had great info to share along the river and a big part of the success of the ride, in my opinion. Music was also great!"
Aziz was great really friendly and great customer service.
"Nico was a fabulous server and host on our river boat happy hour cruise. He was helpful and very friendly, and made the trip welcoming and fun. The steamboat was the highlight of our vacation."
NIKO WAS GREAT
Niko was amazing! The best server ever.
First time in Nashville and the wife set up this tour. The crew was great and informative. The ride was wonderful and relaxing. Get there early like they say and so you can get a good seat they fill up. Definitely recommend taking a few hour out of your day to take a ride.
Nico was a great host and kept our drinks full!! Very nice trip!
NIKKOOOooOooOoOooOoo!!!!!! We LOVED HIM!!! Very personable southern hospitality at its finest!!! Awesome service on point with drinks def recommend!!!
"Fun riverboat tour on the Cumberland River in Nashville, the breeze was legit! Aziz was amazing, so friendly and had great drink recommendations! Good place to see the views and have fun on a hot day 😅"
NIKKOOOooOooOoOooOoo!!!!!! We LOVED HIM!!! Very personable southern hospitality at its finest!!! Awesome service on point with drinks def recommend!!!
Nico was a great host and kept our drinks full!! Very nice trip!
First time in Nashville and the wife set up this tour. The crew was great and informative. The ride was wonderful and relaxing. Get there early like they say and so you can get a good seat they fill up. Definitely recommend taking a few hour out of your day to take a ride.
Niko was amazing! The best server ever.
NIKO WAS GREAT
Aziz was great really friendly and great customer service.
"Nico was a fabulous server and host on our river boat happy hour cruise. He was helpful and very friendly, and made the trip welcoming and fun. The steamboat was the highlight of our vacation."
"A relaxing ride down the River. Jumbo had great info to share along the river and a big part of the success of the ride, in my opinion. Music was also great!"
Jimbo was the best!
Uncle Jimbo gave a very informative tour on the Riverboat. Chilled music and a great cruise down the river. 100% recommend to anyone in the area.
"Awesome experience. Friendly, considerate. Although it was hot the crew came around with cold water. Really nice touch. Would recommend"
"Awesome experience, great staff! It is a must do if you come to Nashville!"
Captain Jimbo was great. We enjoyed the river boat cruise!!! The music was awesome.🤠
"⭐⭐⭐⭐⭐ Captain Jimbo is an absolute legend!
What an unforgettable experience on the Nashville River Boat! Captain Jimbo runs the ship with such warmth, humor, and genuine Southern charm. From the moment we boarded, the energy was electric — live country music, stunning river views, and the most adorable monster family dancing and waving like they owned the deck!
The boat itself is beautiful, the paddlewheel creates that magical rainbow spray, and Captain Jimbo made sure everyone felt like part of the family. This really was the best trip ever!
If you’re in Nashville, do yourself a favor and book this cruise. Captain Jimbo and his crew deliver pure joy on the water. Highly recommend — 10/10! 🚢🦍🎶"
"Our tour guide, Jimbo, was fabulous. He is both knowledgeable and entertaining. The live music on board and porch swing seating were pleasant surprises, as was the drink service right at our seats. I would highly recommend this cruise!"
Everything looks wonderful
Loved it so much- very knowledgeable about Nashville's history. Jimbp was amazing!!
Jimbo was grand. 😏
"Uncle Jimbo rocked it. Great sense of humor, knowledge, and fun."
Jimbo talked about fish and that intrigued me
Uncle Jimbo was a fantastic wealth of knowledge of the Cumberland river
Uncle Jim bought was an amazing guide on this tour...
"Unfortunately the rain ruined our visit! But Aziz made it fun and welcoming to me and my family! Ordered drinks from the third deck and because of the rain we had to move down , Aziz made sure to find us and take care of us !"
Great time! Even in the rain! Jumbo is extremely informative as a tour guide! Definitely recommend!!
Such an underrated activity. So cheap!!! Beautiful view and there’s a singer
Jimbo did a great job narrating the tour. Informative & entertaining even in the rain.
Jimbo was outstanding. Leaned so much about Nashville’s history.
"Great time down the river, a knowledgable narration from jimbo. 10/10"
Jimbo was amazing on this boat and made our whole trip! It was so fun seeing the river and traveling on the boat with live music. Would definitely recommend!!
Great ride. Not even the rain could stop us from having a good time. Aziz was a fantastic host and was with us wherever we needed him. Fantastic way to start our 4th of July weekend. Aziz is the man. Food was mid but that wasn't Aziz's fault
Was such a nice relaxing boat ride. Staff was amazing especially Cyndi at the bar. She gave us some great recommendations for things to do off broadway! Thank you Cyndi we had a great time at the speak easy tour!
Aziz was so attentive and sweet to our large group during dinner and dessert! Great experience 😀
"I had a wonderful time on the Nashville Riverboats cruise! The views of the Nashville skyline from the Cumberland River were beautiful, the atmosphere was relaxing, and it was a great way to spend the evening.

A special shoutout to our waitress, Aziz, who was absolutely amazing! She was friendly, attentive, and made sure we had everything we needed throughout the cruise. Her excellent service really made the experience even more enjoyable.

If you’re visiting Nashville or looking for a fun evening on the water, I highly recommend Nashville Riverboats. Ill definitely be back!"
"Great music, informative tour and lovely staff (Aziz)!

Would definitely recommend."
"Great people, great service and good food.
A very special and relaxing experience."
I love this Cali is the best I will give it 100 stars and more she’s the best singer I’ve ever heard and plus I sing with her it was the best trip ever go Texas and Nashville.
Was a fun experience and the Captain was very friendly and knowledgeable.
"Great day for a riverboat cruise! Apps were great, drinks were great, the views were amazing and learning about the history of Nashville was really cool"
Nice outing for our family’s visit. Jimbo’s narration of the history of Nashville as it relates to the river was entertaining and informative.
Very informative tour. The boat ride was smooth and the crew was great
Fun and informative
"Awesome experience, and a lot of knowledge shared on this trip!
"
Riverboat was beautiful and our narrator Jimbo was great! Live music made it even more fun!
"Everything on the boat was wonderful. If only they could have some of the guests, be quieter while the narrator was telling everyone about the sightseeing tour. But they can only do so much. Would highly recommend this sightseeing trip."
"Fun ride🤗 really good information! The food was good, drinks were amazing! Service was great!!!"
It was a nice way to see the city. We even had a little rain and it didn’t bother the trip at all. I’d recommend the sightseeing cruise.
Aziz was our server. He was delightful to talk to and made our riverboat trip very special. Thank you all. Very enjoyable experience
"This was a fabulous experience. From the narration of the historical sights and facts about Nashville to the staff, I have nothing but good things to say. They made us feel exceptionally welcome and taken care of. Aziz was our steward and was incredibly attentive and took wonderful care of us. I recommend this riverboat experience to anyone visiting."
An amazing time and very informational.
"What a PHENOMENAL experience!!! We went to celebrate the Fourth of July as well as my friend’s 40th birthday and it was definitely a night to remember.

Getting on the boat was a very smooth experience with a simple check in and multiple greetings from staff as we boarded the riverboat. They offered staged photos but were not pushy at all. There was designated seating and the ambiance was festive and enhanced by live music on all three decks — excellent musicians as is typical of Nashville. All the decorations were very fun as they provided pins, necklaces, glow sticks and more to celebrate the 4th.

The food was delicious and plenty for everyone who wanted seconds (or thirds!). There is a full bar as well as many signature drinks to pick from.

Our server was THE BEST — shout out to Aziz. Fabulous, friendly and so nice!!! Niko was also very helpful and kind.

The firework show was incredible. Nashville sure knows how to put on a show.

This event was the highlight of a fantastic weekend celebrating and I would recommend it to anyone looking for an unforgettable experience. :)

Thank you, Nashville Riverboats!"
"Highlight of a day time activity, great knowledge and amazing music"
"Excellent, interesting and knowledgeable guide!"
Jimbo was great!
Captain Jimbo did a great job narrating the river cruise.
"Jimbo was excellent, he had lot of detail in this cruise; lotta great information. Had a fantastic time. I’ll do it again."
Friendly crew! Kudos to Jimbo!
"This was a great experience. The historic information shared, live music, drinks, and atmosphere was amazing. Thank you again!"
"A great informative, entertaining river boat tour. The boat is awesome food and beverages are great. Staff is wonderful."
Nico was Amazing!! Had fhe best time in the boat
Amazing. Everyone come by Niko is awesome!
My Server Niko did an amazing job serving me and my table it made the ride and experience so much better....
Niko was a amazing server always checked on us and got our refills fast
Jimbo and the entire crew were fantastic. I enjoyed learning more about the history and industry of Nashville plus seeing the city from the water gives new perspective and great photo ops! .
"All I can say is, Wow! Our group spent July 4th evening with Nashville Riverboats for a friend's birthday and the experience was nothing short of fantastic! Aziz was amazing as our server during dinner, but also made a point to assist our group throughout the night with drinks and fun interactions. All staff and crew were great, but a huge special thank you to Aziz! I'm a huge fan of fireworks and the 4th of July show was simply the best I've ever seen. Naturally that won't be a part of every visit, but the captain and crew certainly knew exactly how to get us the best seats in the house. The evening was a big highlight of an already great weekend, thanks so much to everyone involved!"
Very entertaining tour guide- great hx of Nashville and importance of the Cumberland river
"Jimbo was amazing and gave us very interesting facts and stories on our tour. Niko was our server and did such a great job, he made us feel right at home and made us laugh. Merit Koch did an amazing job performing songs for us as well. Everyone was so friendly and the boat ride was perfect! I definitely recommend to anyone. Family friendly atmosphere. I will definitely do this again!! Its so affordable so get your tickets and go enjoy yourself!"
"We went on a cruise for our anniversary.Jimbo made the trip great with his narrative and knowledge. Niko was a great server ,friendly. Merit Koch music was great ."
The ride is pretty relaxing the service is great and there’s live music. If your looking for a chill ride outside definitely recommend
So much fun ! Jimbo is great ! I ❤️ Niko
"Enjoyed the ride…great music, info, and staff"
"Beautiful experience, great staff . Thank you"
Amazing views and great vibes from Jimbo and crew!
"Excellent service, informative, good music, had a great afternoon."
"Amazing waiter Niko and of course our river guide jimbo(uncle) greatest experience, u have to give it a try"
"Jimbo was great! Perfect Nashville getaway without getting away! Nice ride, great staff, great food/bev."
"Very pleasant and enjoyable trip. Our waiter Niko was pleasant and personable. Uncle Jimbo, the Riverlorian was fun and informative. I would recommend the River Cruise to any visitor."
Little pricey for what he can see and the guitar not that great
We had a great time! Learned some interesting local history. Definitely recommend
Very informative cruise!
Family friendly!!!!
Great boat trip. Thanks Jimbo!
Jimbo was great!!!
Good river cruise
This was a blast! Thanks Niko for taking care of us!!
"Nashville Riverboats gave us a wonderful experience. Their hospitality was amazing, and everyone was so helpful and friendly. We had a great dinner cruise with beautiful views of downtown Nashville and a sunset over the river. Sitting on a porch swing watching the sun set with my fiance is an instant treasured memory.

We were actually touring the riverboat as a wedding venue, and the staff was so helpful and kind to us throughout the process. It was the first place we toured where we really loved the energy. It was the first place where we felt truly valued, like they felt lucky to have us, not like they thought we would be lucky to have them. These are down-to-earth, empathetic people. We worked directly with Kelsie Hamilton who answered all of our questions and was so courteous and helpful with us.

Everyone we interacted with—from the hospitality managers, to the waiters, to the captain himself—made us feel welcome and gave us an unforgettable experience. I cannot recommend Nashville Riverboats enough!"
Very relaxed cruise. Learned a lot.
Jimbo was top notch! Couldn’t ask for a better boat tour
"Definitely they should call it the Gulf of Uncle Jimbo, it’s the only thing that makes sense"
Loved my experience!! 10/10 Jimbo is so funnnn! Niko was such a great server!!!
Jimbo and Niko were very kind and friendly! Very welcoming and outgoing. 10/10 experience
Niko and jimbo the goat
Thank you for the amazing tour Uncle Jimbo. Your Cuban friends from Miami. 💕
Every nice experience for all ages!
Loved it nice views enjoyed the music
Niko was great. Very personable. His service made up for the horrible food.
"Nico is great, the food, nope!"
Service was excellent and very professional.
"Great idea for a fun date night! The food could have been a little better, as it tasted a little dry from sitting out too long. Aziz was incredible from start to finish, so hopefully you are lucky enough for Aziz to be your wait staff when you go!"
Loved it the best
Food was yummy! The boat was beautiful. Our sever Niko was amazing. I would definitely do this again.
"The family had an incredible time on the Capitol. We enjoyed food, Austin was pouring great cocktails, the outdoor seating, the music, and Olivia even arranged for a visit to the pilot house. She was amazing. It was a hot one on the 3rd, but the AC was cranking and kept us cool when needed. I also learned more about Nashville in those 90 minutes than I had from 3 years of living here. The whole crew was amazing. I may be back this weekend as the in-laws are in town and I think would love the whole experience. It was exactly what my wife was looking for on our day date with the kids."
"Honestly Jimbo was great, he made the ride very enjoyable"
Uncle Jimbo and Calli May were a great combo to keep us engaged through the whole cruise
"Best experience, amazing bartender, and crew. Worth every penny"
Great trip with amazing bartenders and crew
"Jumbo was an amazing, informative & enthusiastic narrator!! Callie is an amazing singer!"
"This was an amazing experience!!! Staff on board was very nice, fun and professional.
Special kudos to Jimbo and Kalli. They made our tour unforgettable and definitely we will return and recommend to anybody willing to have fun and an unique experience."
"Amazing, the music, the narration. Defo recommend.
I even got an ice cold Coke."
"Great tour, Great sites, great tour guide in Jimbo. Get singer and Great server in Niko."
Great experience and Jimbo is a great tour guide and host.
"We had such a great time on the Nashville Riverboat! It was the perfect mix of relaxing and fun. The views of the Cumberland River and the Nashville skyline were beautiful, and it was such a nice way to take a break and enjoy the city from the water. The atmosphere was welcoming, the staff was friendly, and everything was well organized. Whether you’re visiting Nashville or you’re a local looking for something different to do, I definitely recommend this experience. We would absolutely do it again!"
Jimbo was awesome! Thank you
Very fun jimbo was really nice
"hannah WAS perfect, beautiful, and awesome!!! enjoyed our time on the boat ☺️"
"This was a fantastic experience, providing a scenic cruise with a great view of an amazing July 4th fireworks show."
Had a great time
"Nico and Jimbo are the man's.
Thanks for a great vacation"
Great experience!! Big thank you to Niko
"Very relaxing and fun education tour for Nashville.
Servers and atmosphere was great"
We had geat rine learning more about the history of Nashville and the river.
"Very informative cruise, and affordable."
Jimbo and the crew were such good hosts. Best tour ever!
Fun times were had by all!!
Such a great experience with friends and family for their birthday. The captain and crew were very hospitable and welcoming. Highly recommend
First time in Nashville and went to the boat 🚤 tour and jimbo the captain was amazing 🤩
"Excellent service, good ride, great customer service"
Wonderful cruise
"Jimbo was very entertaining, spending time with passengers and making the trip interactive. I would definitely recommend it… 😄"
"Relaxing, fun way to spend an afternoon in Nashville! Friendly crew, tasty snacks, refreshing drinks and pretty scenery. Highly recommend."
Great atmosphere to share with family.
We had an amazing sightseeing cruise! Great live entertainment and historic tour! Highly recommended!
It’s good I guess.
Nikko is the Man!
Niko took care of us. Appetizer were delicious. Good tour
Niko was an awesome server and did a great job! He was friendly and a great young man!
Niko was our server and was fantastic!!! He helped make our trip on the Capitol very relaxing and enjoyable!
"My wife and I took the 2PM cruise and it was very enjoyable. The staff was very friendly and professional. Also, Mr. Jumbo was very friendly and hospitable towards us and the other guests. The sightseeing and singing entertainment was tremendous. Also the narrated tour was very informative and I learned alot more about Nashville, especially concerning the pioneers who settled the region along with the important minerals."
Great time!
jimbo is the dog man great tour learned a lot more about cement for sure
"Great interaction and very knowledgeable!!
Engaged with the patrons!"
Very enjoyable experience great venue to get out the heat have a drink and a snack also a lot of historical information was provided about the river very great experience
"We had a really nice time on the riverboat cruise. The staff were very nice. I mistakenly made our booking for the next day and they were understanding and were able to switch the days for us. The live music was good, the food and drinks were good, and the tour guide did a great job. The boat was very nice and had a lot of great areas to sit to see the scenery from the boat."
The singer calli may killed it she has a great voice and totally made the whole boat ride someone sign her
"Awesome ride! Great music, and good history shared. Worth every penny spent!"
Great time. Great music. Great views. Great food. Very relaxing
Great relaxing ride up and down river. Highly recommend. Fantastic local music from Merit. Recommend Highly
"We had a wonderful trip up and down the river. Jimbo, our host, gave a great overview of the history and current events of the Nashville area. Very informative. The tour was very relaxing and a perfect way to start our evening in Nashville. Highly recommended for families and seniors."
"actual goated ride, really good tour guides and was an overall good experience very good food!"
Jimbo was amazing. Such a nice time away from the hustle and bustle of downtown Nashville. Highly recommend this adventure
Nice peaceful relax ride. Excellent history about Nashville from Mr. Jimbo.
Jumbo was a great narrator. We learned a lot about Nashville.
Jimbo was a wonderful narrator and the staff and food on the boat were excellent!
Great experience! Informative relaxing river boat tour. 1.5 hours
It was a fabulous trip down the river and very informative. Great live music. Everything was perfect.
Very interesting tour. Jimbo was a super guide and very funny. The special cave showing was a nice touch!
"Very relaxing boat ride on a beautiful historical boat. Live music outdoors on the second deck. Plenty of air-conditioned seating on the first deck. Our MC, Uncle Jimbo, was entertaining and informative.

We did the afternoon cruise and did not have a meal. They do serve alcohol and food."
They were very helpful and cordial. Very accommodating. The tour was very informative and the ride was very relaxing. The live music was also nice. Jimbo was very knowledgeable about the history of Nashville and was very kind.
"The river tour was fantastic! Food was good, views were great, and our server Niko made sure we were never thirsty :)"
Niko was the best. Highly recommend this river cruise!
"This was an incredible experience! Would recommend to anyone looking for a new way to see Nashville. Niko was so friendly and helpful, food served was tasty as were the drinks. Live music aboard with great views. Captain had interesting commentary and history about the sites as we passed. Highly recommend the lemon drop!"
Niko was the literal best if I could do 100 stars I would!!!
So much fun!! Staff was so friendly. Thanks Niko for the great service and making sure we were always having a great time. Pretty views on a boat with champagne what’s not to love
There were empty trays of food and we were told we were going to have something to eat.
"Great time, we had a big party of people and everyone had a blast. Great staff all around 100 Stars."
"Friendly staff and great ride
Highly recommended"
Jumbo was very informative and kind lol
Amazing would do again
"Had an amazing time. Really recomended. Merit, great singer and wonderful woman."
Amazing experience! We had a great time listening to Merit playing great songs. Also the food was delicious! Definitely recommend.
A amazing float !
Sister trip was a win win when we rode this boat The captain was an awesome person and the crew were outstanding. I’m looking forward to our next trip.
"Niko, He was very friendly and very talented caring many drinks at a time up the stairs . The music was great had a great time. They even sang happy birthday to me. Just had a great time!"
Great
Lovely time!
Jimbo was an awesome Tour Guide in the Cumberland River Cruise!!
King Jimbo fr
Yessir jimbo. The man 🔥🔥🔥🔥🔥🔥🔥
fantastic?
Great tour great music great food
